three	['TH', 'R', 'IY1']
hundred	['HH', 'AH1', 'N', 'D', 'ER0', 'D']
dollars	['D', 'AO1', 'L', 'ER0', 'Z']
zero	['Z', 'IY1', 'R', 'OW0']
cents	['S', 'EH1', 'N', 'S']
million	['M', 'IH1', 'L', 'Y', 'AH0', 'N']
This	['DH', 'IH0', 'S']
is	['IH0', 'Z']
our	['AA1', 'R']
chance	['CH', 'AE1', 'N', 'S']
